dis,relia,err0,err1,err2,err3,angle0,angle1,angle2,mse,rmse,table,id0,id1,id2,id3
1022.3571166992188, 98.14491, 0.9982527, 0.7714772, 1.5057153, 0.85985786, -6.502200026629376, 161.47849501556183, 59.735309699591284, 2.914047203428118, 1.707058055084278, 0, 1, 2, 4, 3, 
1027.830078125, 99.897446, -0.055188257, 0.0051942235, 0.40222695, -0.22893211, -3.210897787214404, 163.09873691020934, 60.513711940745345, 1.3844453320101655, 1.1766245501476524, 0, 1, 2, 4, 3, 
1039.13232421875, 96.67532, -1.6590258, -1.2840582, -1.6972508, -1.7024015, -3.476862788154083, 0.0, 45.92159542501394, 4.72713956101284, 2.1741986020170376, 1, 3, 1, 4, 2, 
1045.3349609375, 95.25162, -2.5551872, -1.6121275, -1.3532367, -1.995731, -7.133006460459043, 165.3632495272636, 65.04882566901432, 6.997510960700019, 2.6452808850290395, 0, 1, 2, 4, 3, 
1156.0262451171875, 94.869354, -2.5602086, -1.9571061, -2.042906, -2.3459904, -5.983892602889921, 0.0, 46.00155228246911, 8.656910150803611, 2.942262760326414, 1, 3, 1, 4, 2, 
1116.961181640625, 95.61274, -2.360858, -1.8774803, -1.2992398, -2.1502373, -4.716034700238686, 164.52976806943246, 65.49803780322046, 6.584552871261049, 2.5660383612216418, 0, 1, 2, 4, 3, 
1392.0316162109375, 97.201004, -1.3967091, -0.09229172, -1.2315753, -1.2523768, -20.419492659908762, 0.0, 52.04143522924419, 4.2057439648096455, 2.0507910583015634, 1, 3, 1, 4, 2, 
1414.5343017578125, 96.45683, -1.9066381, -1.2551392, -1.7135553, -1.2695388, -10.900983627126445, 161.54323989980816, 71.0716732159796, 5.205491849277934, 2.2815547000407275, 0, 1, 2, 3, 4, 
1404.0272216796875, 98.96737, -0.5152852, -0.52320564, -0.35165465, -0.68998724, -5.533857963831734, 165.34544097841555, -106.61023435147202, 3.381013885627725, 1.8387533509494212, 1, 3, 1, 4, 2, 
1432.7119140625, 98.01766, -1.0667304, -0.52543074, -0.37215093, -0.27662382, -7.202989405068105, 169.878778964286, 74.36172599747908, 1.8695317436436452, 1.36730821091795, 0, 1, 2, 3, 4, 
1507.0260009765625, 98.245155, -0.87567383, -0.5994888, -0.8697731, -0.8628419, -11.350050401241207, 0.0, 54.764700147244234, 1.5163365567224176, 1.2313961818693517, 1, 3, 1, 4, 2, 
1521.4765625, 96.96906, -1.6309988, -1.1388292, -0.9337348, -1.4016457, -4.004390843493657, 175.96491386513003, 74.52941058287688, 3.4324618883201703, 1.852690445897579, 0, 1, 2, 3, 4, 
1490.005126953125, 99.5641, 0.23456495, 0.36096612, 0.6328832, 0.42190906, -9.378322364683722, 176.46833855074274, 73.43598727015285, 0.8175582974730943, 0.9041893040028146, 0, 1, 2, 3, 4, 
1543.91845703125, 99.87424, -0.062755495, 0.13636829, -0.14326245, -0.33742625, 5.248716976865373, 174.0826354003831, -109.042122887795, 0.9883877471845193, 0.9941769194587647, 1, 3, 1, 4, 2, 
1547.0740966796875, 97.445724, -1.3745008, -0.81294566, -0.7385252, -1.310373, -3.909160309675944, 178.04373696860554, 76.10946778918611, 2.5068863358861, 1.5833149831559417, 0, 1, 2, 3, 4, 
1654.47314453125, 97.60909, -1.1930699, 0.048474133, -0.6396337, -0.790088, -14.035745971989636, -0.49222811077868617, 52.591349260696305, 3.6196024074897997, 1.902525271182961, 1, 3, 1, 4, 2, 
1648.3140869140625, 99.03769, -0.5178342, -0.59135073, 0.25434572, -0.7757906, 2.2315434223084214, 164.84409519740603, 85.33203121244182, 1.3823137767486482, 1.1757184087819021, 0, 1, 2, 3, 4, 
1072.9459228515625, 98.31598, -0.90619993, -0.52408034, -0.5744074, -0.25279593, -7.216174385909369, 173.8076355071801, 84.09873643578304, 1.060346769845045, 1.029731406651776, 0, 1, 2, 3, 4, 
