p0x,p0y,p0z,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z
-44.0145726770087,8.79864957978302,527.701249593885,-108.198432287548,31.6141352018934,577.811752615964,-110.638732589247,54.2679763622533,592.761459839581,-109.791998335724,60.9160272181365,584.688379283236
-35.6396044468085,8.78682869848256,527.736645744541,-106.624754752146,30.5898881297949,565.072077022502,-115.88154123927,54.9249107944613,611.356240558464,-111.559227893477,60.6757673497984,585.1455948139
-29.6053060070228,8.37516951890985,528.77928143139,-103.723448729131,30.0386801390799,553.936340689641,-118.498527491556,56.0013597170238,625.142243762509,-110.231787103281,60.420716625312,582.618198335333
-22.0984036128218,8.4110305657697,531.772305060014,-99.3138115492911,29.4761498452054,542.944003903897,-118.798682327245,57.1873293684619,641.38696540189,-107.445840165411,61.1975890719305,581.414395006087
-14.5677964324608,7.3235443038027,537.049915103416,-12.5019501335787,17.3318120224412,463.877585604918,-92.8251013538543,29.3720040108537,532.720022209382,-94.6367610233895,30.6823852957608,534.264287433723
-9.20812939173131,8.94949130296574,540.984551775609,-85.4781269996924,27.1704220850136,525.249077157311,-86.3473098527286,29.7313150403605,526.009254411856,-88.1163426107478,30.6472398094241,527.523447622143
-4.58387230615421,9.05227669346878,548.184929267721,-74.4167327431313,26.3083349277629,516.885339164643,-76.9765905067467,28.0423390650402,519.080698426531,-76.9742215975459,28.8472870973457,519.077445339583
-0.634630248282604,9.52889056021312,553.759566176321,-66.3438389466903,26.7470449031055,512.102908074062,-64.9699257574563,28.728991656852,496.0551018514,-68.0048305091754,30.0059292837014,513.529401487862
0.980421577920913,9.67957306834785,563.361712708562,-54.1966205402279,26.8992784721653,509.113040024658,-55.0025014110174,29.2920986186069,509.816674039395,-54.7429074953062,29.9504260748231,507.427939718197
2.63370088717691,9.77090739228458,569.244361477304,-43.7693696447712,27.4326164848012,507.38814049393,-43.7647696772227,29.7598450384365,507.375972036077,-44.0474988789277,30.2709038448262,502.271099456755
1.84461465481042,10.3508627521488,579.454212832053,-32.0682052361882,27.6745506997281,507.543067706022,-32.0685233054083,30.3514896341097,507.522343742616,-31.8502906951654,30.9342670302423,504.086134526651
