p0x,p0y,p0z,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z,,,,,,,,,,,,
91.8697432859369,78.838659788794,1094.41516136417,146.327686479815,85.1979419176709,1117.07491931479,148.515967477196,140.89881742221,1115.94299995785,91.8517380671744,159.527554204272,1095.86081485839,0,0,0,0,0,0,0,0,0,0,0,0
107.30619164804,67.0449395488061,1060.27895186143,161.960894941805,73.4823371318056,1076.69662813788,161.788749260194,129.309846436044,1080.93679321434,104.443211475421,147.348900512727,1066.41352542461,0,0,0,0,0,0,0,0,0,0,0,0
103.809377206053,68.1474812301213,1040.36010976473,158.361099382888,74.0349532758123,1058.88428458455,159.187475659465,129.341340561872,1059.36898009424,102.961264034777,148.266719326693,1043.76844626424,0,0,0,0,0,0,0,0,0,0,0,0
103.830374834511,64.0864818410606,1201.81492444576,126.807763405633,55.1987368613131,924.796432401622,147.287541106715,110.520949420131,1045.22502766947,91.804480540461,131.038918062639,1023.34278567487,0,0,0,0,0,0,0,0,0,0,0,0
137.188559502705,48.645062045513,1061.31276013975,82.6916406843291,50.3661402063088,1051.72056198936,146.728885908264,89.1020003628222,1023.96152524042,94.195735914287,110.710068050233,1000.37573846462,0,0,0,0,0,0,0,0,0,0,0,0
133.615066299265,56.108300465772,1074.15706740657,77.8845383924123,57.9841182179909,1068.35746484548,142.001761201055,97.9941982602763,1041.2029779285,88.5232471289397,118.723239643317,1014.09196639298,0,0,0,0,0,0,0,0,0,0,0,0
132.110234206651,54.016023314721,1085.33162481433,76.0781164608581,55.8740422077479,1078.76974770243,140.428346956507,96.4068198935392,1052.3137772346,85.8181587319671,116.833085766606,1026.39889834638,0,0,0,0,0,0,0,0,0,0,0,0
135.941717562087,50.0241187508686,1077.98586539464,80.6326213139004,51.8487463807909,1070.42411420202,144.384836840942,90.1209322636806,1038.29592242325,90.638381003203,109.034435487102,1014.19489227973,0,0,0,0,0,0,0,0,0,0,0,0
134.361632604782,48.1165599642531,1090.26336669353,79.1803263385558,49.2247515086953,1085.56990615915,142.362434261567,86.6398818016605,1052.24738866044,87.6883326145022,105.294805018596,1030.44149836348,0,0,0,0,0,0,0,0,0,0,0,0
124.699953541732,46.8633020613465,1135.45292352883,69.3062897397676,48.1360527458624,1134.44884155803,131.078901264638,84.8537918015679,1098.71041012568,76.7263981773359,103.699406198966,1078.09205211472,0,0,0,0,0,0,0,0,0,0,0,0
72.5362258421067,47.7196492482269,1375.56144564225,104.919678403689,39.7216664546266,1053.64210202149,126.655015619312,83.5209536222834,1159.12188089832,70.9316163456857,102.719051904644,1136.75784296932,0,0,0,0,0,0,0,0,0,0,0,0
68.4229293498228,43.3621045251377,1394.86198010831,101.766517009734,37.231734691012,1074.80509997391,119.670573204267,80.4156201234298,1175.99669638325,64.9546963173996,97.024230981059,1159.24764754318,0,0,0,0,0,0,0,0,0,0,0,0
92.4371259640944,32.3726624531085,1121.68499506562,56.9024384030895,39.2577780006977,1457.80288521134,109.699102364467,76.1945787887092,1232.73072489835,54.597880845183,92.5071629064647,1212.38218769023,0,0,0,0,0,0,0,0,0,0,0,0
45.4458168333125,35.4544204774507,1298.62011085978,100.353876547469,37.6917469178163,1297.49326216289,104.962479930093,78.2121598970807,1266.35910839295,1213.41040889932,-150.387814868597,-2613.22044980643,0,0,0,0,0,0,0,0,0,0,0,0
32.9764226410448,41.7481179316957,1380.56117911068,88.8702507183427,44.1719287801595,1383.11889321922,92.7519156379242,85.8130347507941,1344.11016381332,36.7857588657721,101.908763184071,1324.48804557022,0,0,0,0,0,0,0,0,0,0,0,0
5.63292319842664,48.3861216996873,1328.31247827542,57.3654636142823,50.4881105238367,1323.80022619287,57.9407701747776,90.3088356602941,1284.3294061329,3.6911122494647,107.114453168748,1274.95948733461,0,0,0,0,0,0,0,0,0,0,0,0
49.7078444188541,82.2313299244997,1724.85067321188,88.8420944179813,67.2333627470002,1321.30608134909,103.107696631503,117.940781720243,1459.92013499436,45.1617442367532,136.377527255468,1444.22244757339,0,0,0,0,0,0,0,0,0,0,0,0
59.1767139971513,48.7635017173582,1520.34625057337,116.478768988757,51.2075119197205,1515.09213912539,118.376114809461,93.5786362717163,1479.10506787252,61.4607981568061,109.166571430106,1461.38089926335,0,0,0,0,0,0,0,0,0,0,0,0
19.0061202144234,21.0958572111772,1419.17878136964,66.7128411448801,25.7270957918116,1423.65903642943,66.6858262947085,63.2997722054796,1392.2410753523,15.3503233241766,77.547729196724,1379.22393955225,0,0,0,0,0,0,0,0,0,0,0,0
