,0,1,2
0,170,2,715
1,170,2,715
2,170,2,715
3,170,3,713
4,170,4,715
5,170,6,715
6,170,7,715
7,170,8,715
8,171,9,717
9,171,10,717
10,171,11,715
11,171,13,717
12,172,14,717
13,172,14,715
14,172,15,717
15,172,16,715
16,172,17,717
17,173,19,717
18,173,19,715
19,173,21,715
20,173,23,715
21,173,24,715
22,173,25,715
23,173,27,715
24,172,30,715
25,172,32,715
26,172,34,715
27,172,37,715
28,172,40,715
29,173,44,717
30,174,48,715
31,174,50,715
32,175,54,715
33,175,56,713
34,176,58,713
35,177,60,713
36,179,64,717
37,181,68,713
38,183,72,711
39,185,75,713
40,187,79,713
41,190,81,717
42,191,84,708
43,194,87,711
44,197,89,713
45,199,92,710
46,201,95,708
47,206,99,710
48,209,102,708
49,214,107,710
50,217,109,710
51,221,112,708
52,226,116,708
53,231,118,710
54,240,122,710
55,246,123,700
56,253,125,710
57,256,125,708
58,245,12,676
59,242,10,676
60,238,9,673
61,235,8,671
62,229,5,671
63,226,3,679
64,223,3,679
65,217,3,677
66,214,3,680
67,213,3,680
68,209,4,685
69,208,5,684
70,207,5,687
71,206,7,688
72,205,8,690
73,205,12,693
74,205,15,695
75,205,16,695
76,206,20,696
77,207,22,696
78,208,23,698
79,208,23,698
80,208,22,698
81,207,21,696
82,204,19,696
83,201,18,698
84,197,18,696
85,194,19,700
86,190,20,705
87,187,20,703
88,182,22,706
89,178,22,703
90,174,24,705
91,173,26,717
92,170,27,711
93,169,129,745
94,172,131,747
95,174,133,740
96,177,136,742
97,178,139,740
98,180,140,740
99,182,141,742
100,184,143,745
101,185,143,742
102,187,144,743
103,188,143,742
104,189,142,740
105,189,142,742
106,190,143,743
107,189,144,742
108,190,146,743
109,190,148,743
110,190,149,743
111,190,153,745
112,190,156,745
113,190,160,747
114,191,163,749
115,192,166,749
116,193,168,747
117,195,171,749
118,196,173,745
119,198,175,751
120,201,178,749
121,202,179,745
122,205,181,747
123,208,183,745
124,211,184,747
125,259,124,715
126,257,122,713
127,255,121,708
128,255,120,713
129,255,120,715
130,253,120,715
131,250,121,711
132,250,124,717
133,249,125,717
134,251,126,724
135,252,126,722
136,254,126,722
137,254,127,722
138,254,131,724
139,254,135,725
140,254,137,729
141,254,138,729
142,254,139,734
143,254,139,734
144,254,141,743
145,254,142,747
146,254,142,751
147,254,141,751
148,254,141,757
149,254,140,763
150,254,139,763
151,255,139,770
152,255,138,772
153,255,138,776
154,255,138,783
155,254,139,787
156,253,139,791
157,252,139,793
158,251,140,797
159,250,143,806
160,245,142,806
161,241,141,804
162,238,143,819
163,229,141,815
164,228,145,835
165,224,147,842
166,220,145,833
167,220,148,850
168,217,149,847
169,216,154,860
170,217,157,865
171,217,160,870
172,218,164,872
173,221,169,883
174,222,172,885
175,224,175,885
176,226,178,888
177,229,179,896
178,231,182,899
179,234,185,896
180,238,188,910
181,242,192,907
