id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,-82.25,67.22,2525.85,-175.54,-4.64,96.03,1.4,1.18,0.83,1.45
0,55.98,-110.18,2500.23,-175.84,-17.27,96.77,1.71,1.31,0.81,1.7
0,55.98,-110.18,2500.23,-175.84,-17.27,96.77,1.71,1.31,0.81,1.7
0,55.98,-110.18,2500.23,-175.84,-17.27,96.77,1.71,1.31,0.81,1.7
0,94.73,-152.57,2521.08,-178.02,-1.52,96.62,0.85,0.92,0.66,1.49
0,94.73,-152.57,2521.08,-178.02,-1.52,96.62,0.85,0.92,0.66,1.49
0,109.28,-150.61,2520.63,175.87,-2.43,99.0,0.9,0.95,0.73,1.51
0,108.15,-134.71,2528.53,-168.88,-1.98,96.82,0.35,0.59,0.45,0.85
0,108.15,-134.71,2528.53,-168.88,-1.98,96.82,0.35,0.59,0.45,0.85
0,108.15,-134.71,2528.53,-168.88,-1.98,96.82,0.35,0.59,0.45,0.85
0,108.15,-134.71,2528.53,-168.88,-1.98,96.82,0.35,0.59,0.45,0.85
0,108.15,-134.71,2528.53,-168.88,-1.98,96.82,0.35,0.59,0.45,0.85
0,172.22,-58.02,2534.86,-12.53,16.67,-176.53,49.04,7.0,5.17,11.46
0,106.49,-107.88,2540.68,-156.89,7.52,95.26,4.15,2.04,1.44,3.13
0,106.49,-107.88,2540.68,-156.89,7.52,95.26,4.15,2.04,1.44,3.13
0,106.49,-107.88,2540.68,-156.89,7.52,95.26,4.15,2.04,1.44,3.13
0,106.47,-104.24,2540.4,-158.52,12.67,95.2,4.67,2.16,1.66,3.28
0,106.47,-104.24,2540.4,-158.52,12.67,95.2,4.67,2.16,1.66,3.28
0,107.45,-79.54,2511.66,169.02,-12.92,98.02,1.92,1.39,0.93,1.75
0,107.46,-75.9,2511.66,169.06,-12.6,98.01,6.59,2.57,1.82,3.47
0,107.46,-75.9,2511.66,169.06,-12.6,98.01,6.59,2.57,1.82,3.47
0,107.46,-75.9,2511.66,169.06,-12.6,98.01,6.59,2.57,1.82,3.47
0,107.42,-68.7,2511.11,173.62,-16.87,98.7,0.26,0.51,0.39,0.71
0,107.42,-68.7,2511.11,173.62,-16.87,98.7,0.26,0.51,0.39,0.71
0,108.29,-47.37,2531.6,177.2,5.92,98.14,0.39,0.63,0.4,0.85
0,107.2,-42.01,2540.28,-164.35,3.88,95.69,1.68,1.3,1.09,2.1
0,107.2,-42.01,2540.28,-164.35,3.88,95.69,1.68,1.3,1.09,2.1
0,107.2,-42.01,2540.28,-164.35,3.88,95.69,1.68,1.3,1.09,2.1
0,107.2,-42.01,2540.28,-164.35,3.88,95.69,1.68,1.3,1.09,2.1
0,107.2,-42.01,2540.28,-164.35,3.88,95.69,1.68,1.3,1.09,2.1
0,106.33,-16.41,2537.01,-178.54,-4.77,96.84,1.51,1.23,0.78,1.74
0,107.16,-10.87,2530.52,174.8,-10.26,97.48,0.41,0.64,0.48,0.9
0,107.16,-10.87,2530.52,174.8,-10.26,97.48,0.41,0.64,0.48,0.9
0,107.16,-10.87,2530.52,174.8,-10.26,97.48,0.41,0.64,0.48,0.9
0,107.16,-10.87,2530.52,174.8,-10.26,97.48,0.41,0.64,0.48,0.9
0,107.14,-5.43,2530.09,163.92,-8.32,96.72,1.83,1.35,1.04,1.86
0,107.92,18.18,2522.65,169.79,-7.61,97.82,0.95,0.98,0.67,1.25
0,107.91,25.49,2522.67,169.78,-7.59,97.84,0.99,0.99,0.69,1.28
0,107.91,25.49,2522.67,169.78,-7.59,97.84,0.99,0.99,0.69,1.28
0,107.91,25.49,2522.67,169.78,-7.59,97.84,0.99,0.99,0.69,1.28
0,107.91,25.49,2522.67,169.78,-7.59,97.84,0.99,0.99,0.69,1.28
0,107.89,32.7,2522.09,158.34,-6.1,97.32,1.1,1.05,0.63,1.23
