id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,234.68,-146.98,3028.87,-167.04,2.0,97.32,5.45,2.34,1.91,3.8
0,234.68,-146.98,3028.87,-167.04,2.0,97.32,5.45,2.34,1.91,3.8
0,234.68,-146.98,3028.87,-167.04,2.0,97.32,5.45,2.34,1.91,3.8
0,234.68,-146.98,3028.87,-167.04,2.0,97.32,5.45,2.34,1.91,3.8
0,234.68,-146.98,3028.87,-167.04,2.0,97.32,5.45,2.34,1.91,3.8
0,234.68,-146.98,3028.87,-167.04,2.0,97.32,5.45,2.34,1.91,3.8
0,234.19,-115.48,3000.04,154.86,-24.67,97.72,16.87,4.11,3.08,6.21
0,234.19,-115.48,3000.04,154.86,-24.67,97.72,16.87,4.11,3.08,6.21
0,234.19,-115.48,3000.04,154.86,-24.67,97.72,16.87,4.11,3.08,6.21
0,234.19,-115.48,3000.04,154.86,-24.67,97.72,16.87,4.11,3.08,6.21
0,234.19,-115.48,3000.04,154.86,-24.67,97.72,16.87,4.11,3.08,6.21
0,234.19,-115.48,3000.04,154.86,-24.67,97.72,16.87,4.11,3.08,6.21
0,233.87,-92.92,3035.47,162.3,4.23,95.36,2.16,1.47,1.02,2.33
0,234.48,-88.25,3026.1,163.06,-22.9,95.5,6.21,2.49,1.82,3.38
0,234.48,-88.25,3026.1,163.06,-22.9,95.5,6.21,2.49,1.82,3.38
0,234.48,-88.25,3026.1,163.06,-22.9,95.5,6.21,2.49,1.82,3.38
0,234.48,-88.25,3026.1,163.06,-22.9,95.5,6.21,2.49,1.82,3.38
0,234.48,-88.25,3026.1,163.06,-22.9,95.5,6.21,2.49,1.82,3.38
0,234.38,-62.19,3024.84,145.97,-14.59,95.9,8.21,2.87,1.83,3.53
0,233.79,-57.99,3034.16,153.44,-8.31,95.65,4.24,2.06,1.7,3.34
0,233.79,-57.99,3034.16,153.44,-8.31,95.65,4.24,2.06,1.7,3.34
0,233.79,-57.99,3034.16,153.44,-8.31,95.65,4.24,2.06,1.7,3.34
0,225.53,9.35,3041.32,-23.73,-2.53,84.01,37.22,6.1,5.17,10.32
0,225.53,9.35,3041.32,-23.73,-2.53,84.01,37.22,6.1,5.17,10.32
0,232.14,-31.9,3029.9,170.03,-19.47,94.81,8.26,2.87,2.02,3.99
0,233.04,-25.5,3041.67,-165.75,-10.0,94.92,2.75,1.66,1.16,2.61
0,233.04,-25.5,3041.67,-165.75,-10.0,94.92,2.75,1.66,1.16,2.61
0,233.04,-25.5,3041.67,-165.75,-10.0,94.92,2.75,1.66,1.16,2.61
0,233.04,-25.5,3041.67,-165.75,-10.0,94.92,2.75,1.66,1.16,2.61
0,233.04,-25.5,3041.67,-165.75,-10.0,94.92,4.37,2.09,1.48,3.15
0,232.92,2.81,3040.17,153.99,-4.7,95.55,5.02,2.24,1.81,3.73
0,295.85,64.18,3054.49,4.29,0.11,-172.99,44.68,6.68,4.73,10.72
0,295.85,64.18,3054.49,4.29,0.11,-172.99,44.68,6.68,4.73,10.72
0,295.85,64.18,3054.49,4.29,0.11,-172.99,44.68,6.68,4.73,10.72
0,295.85,64.18,3054.49,4.29,0.11,-172.99,44.68,6.68,4.73,10.72
0,232.9,9.37,3039.96,174.14,-17.08,96.74,4.34,2.08,1.29,3.01
0,231.87,35.35,3026.52,155.18,-20.8,95.48,21.48,4.64,3.18,6.37
0,231.87,35.35,3026.52,155.18,-20.8,95.48,21.48,4.64,3.18,6.37
0,231.87,35.35,3026.52,155.18,-20.8,95.48,21.48,4.64,3.18,6.37
0,231.87,35.35,3026.52,155.18,-20.8,95.48,21.48,4.64,3.18,6.37
0,231.87,35.35,3026.52,155.18,-20.8,95.48,21.48,4.64,3.18,6.37
0,231.87,35.35,3026.52,155.18,-20.8,95.48,21.48,4.64,3.18,6.37
0,231.25,72.98,3058.83,162.51,4.79,95.3,0.6,0.77,0.59,1.17
0,231.25,72.98,3058.83,162.51,4.79,95.3,0.6,0.77,0.59,1.17
0,231.25,72.98,3058.83,162.51,4.79,95.3,0.6,0.77,0.59,1.17
0,231.25,72.98,3058.83,162.51,4.79,95.3,0.6,0.77,0.59,1.17
0,231.25,72.98,3058.83,162.51,4.79,95.3,0.6,0.77,0.59,1.17
0,231.25,72.98,3058.83,162.51,4.79,95.3,0.6,0.77,0.59,1.17
0,231.15,99.24,3057.53,159.0,5.83,96.54,15.29,3.91,2.72,5.24
0,231.15,99.24,3057.53,159.0,5.83,96.54,15.29,3.91,2.72,5.24
0,231.15,99.24,3057.53,159.0,5.83,96.54,15.29,3.91,2.72,5.24
0,231.15,99.24,3057.53,159.0,5.83,96.54,15.29,3.91,2.72,5.24
0,231.15,99.24,3057.53,159.0,5.83,96.54,15.29,3.91,2.72,5.24
0,231.15,99.24,3057.53,159.0,5.83,96.54,15.29,3.91,2.72,5.24
0,231.05,125.47,3056.24,158.15,-2.22,96.49,9.91,3.15,1.76,3.27
0,230.44,128.09,3065.79,174.04,4.57,96.0,1.96,1.4,1.14,2.36
0,230.44,128.09,3065.79,174.04,4.57,96.0,1.96,1.4,1.14,2.36
0,230.44,128.09,3065.79,174.04,4.57,96.0,1.96,1.4,1.14,2.36
