id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,190.7,-58.64,1814.45,174.64,-10.97,98.12,0.59,0.77,0.55,1.04
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.36,-56.0,1813.24,173.42,-5.15,98.24,1.38,1.17,0.88,1.88
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,191.12,-26.22,1823.47,-175.0,5.83,97.94,0.72,0.85,0.63,1.2
0,190.89,-26.19,1821.25,179.39,1.07,97.42,0.57,0.75,0.57,1.03
0,190.89,-26.19,1821.25,179.39,1.07,97.42,0.57,0.75,0.57,1.03
0,190.89,-26.19,1821.25,179.39,1.07,97.42,0.57,0.75,0.57,1.03
