id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,151.22,-140.2,2051.3,-178.6,-1.04,98.08,0.9,0.95,0.65,1.23
0,213.15,-56.42,2076.6,-29.25,14.44,-178.75,46.99,6.85,5.08,11.26
0,213.15,-56.42,2076.6,-29.25,14.44,-178.75,46.99,6.85,5.08,11.26
0,213.15,-56.42,2076.6,-29.25,14.44,-178.75,46.99,6.85,5.08,11.26
0,213.15,-56.42,2076.6,-29.25,14.44,-178.75,46.99,6.85,5.08,11.26
0,213.15,-56.42,2076.6,-29.25,14.44,-178.75,46.99,6.85,5.08,11.26
0,213.15,-56.42,2076.6,-29.25,14.44,-178.75,46.99,6.85,5.08,11.26
0,150.68,-85.32,2043.95,165.44,-7.15,98.23,0.49,0.7,0.48,1.05
0,150.7,-79.39,2043.95,162.57,-7.16,98.69,0.07,0.27,0.21,0.41
0,150.7,-79.39,2043.95,162.57,-7.16,98.69,0.07,0.27,0.21,0.41
0,151.09,-76.67,2049.39,164.13,-4.77,98.77,0.74,0.86,0.58,1.14
0,151.09,-76.67,2049.39,164.13,-4.77,98.77,0.74,0.86,0.58,1.14
0,151.09,-76.67,2049.39,164.13,-4.77,98.77,0.74,0.86,0.58,1.14
0,151.0,-54.34,2040.24,159.91,-13.21,98.08,1.25,1.12,0.84,1.68
0,149.86,-50.11,2048.69,166.75,-7.63,97.31,0.6,0.78,0.53,1.13
0,149.86,-50.11,2048.69,166.75,-7.63,97.31,0.6,0.78,0.53,1.13
0,149.86,-50.11,2048.69,166.75,-7.63,97.31,0.6,0.78,0.53,1.13
0,149.86,-50.11,2048.69,166.75,-7.63,97.31,0.6,0.78,0.53,1.13
0,149.86,-50.11,2048.69,166.75,-7.63,97.31,0.6,0.78,0.53,1.13
0,150.2,-25.13,2053.51,171.64,1.44,97.57,0.71,0.84,0.61,1.25
0,149.63,-22.2,2057.78,175.37,1.05,97.12,1.5,1.23,0.96,2.0
0,149.63,-22.2,2057.78,175.37,1.05,97.12,1.5,1.23,0.96,2.0
0,149.63,-22.2,2057.78,175.37,1.05,97.12,1.5,1.23,0.96,2.0
0,149.63,-22.2,2057.78,175.37,1.05,97.12,1.5,1.23,0.96,2.0
0,149.63,-22.2,2057.78,175.37,1.05,97.12,1.5,1.23,0.96,2.0
0,149.94,5.89,2054.02,167.73,-6.97,98.07,1.85,1.36,0.92,2.11
0,149.94,8.87,2054.02,168.15,-3.96,98.04,1.45,1.2,0.89,1.93
0,149.94,8.87,2054.02,168.15,-3.96,98.04,1.45,1.2,0.89,1.93
0,149.94,8.87,2054.02,168.15,-3.96,98.04,1.45,1.2,0.89,1.93
0,149.33,16.23,2057.83,173.88,0.97,97.41,1.53,1.24,0.98,2.08
0,149.33,16.23,2057.83,173.88,0.97,97.41,1.53,1.24,0.98,2.08
0,147.32,40.17,2071.45,-172.67,6.68,95.71,0.19,0.43,0.25,0.48
0,148.29,43.02,2064.26,178.41,4.75,96.91,0.61,0.78,0.57,1.24
0,148.29,43.02,2064.26,178.41,4.75,96.91,0.61,0.78,0.57,1.24
0,148.29,43.02,2064.26,178.41,4.75,96.91,0.61,0.78,0.57,1.24
0,148.29,43.02,2064.26,178.41,4.75,96.91,0.61,0.78,0.57,1.24
0,148.29,45.96,2064.06,178.27,3.55,96.89,0.34,0.58,0.43,0.83
0,148.04,71.35,2068.96,178.41,5.02,96.38,0.57,0.76,0.59,1.19
0,147.44,74.5,2073.31,-178.18,1.86,95.87,1.24,1.12,0.84,1.62
0,147.44,74.5,2073.31,-178.18,1.86,95.87,1.24,1.12,0.84,1.62
0,147.44,74.5,2073.31,-178.18,1.86,95.87,1.24,1.12,0.84,1.62
0,147.44,74.5,2073.31,-178.18,1.86,95.87,1.24,1.12,0.84,1.62
0,147.44,74.5,2073.31,-178.18,1.86,95.87,1.24,1.12,0.84,1.62
0,147.98,98.11,2068.24,-178.98,-5.0,96.67,0.5,0.71,0.55,1.07
0,147.37,101.32,2072.58,-174.6,0.0,96.14,0.79,0.89,0.67,1.29
0,147.37,101.32,2072.58,-174.6,0.0,96.14,0.79,0.89,0.67,1.29
0,147.37,101.32,2072.58,-174.6,0.0,96.14,0.79,0.89,0.67,1.29
0,147.38,107.21,2072.18,-178.32,0.45,95.86,1.0,1.0,0.76,1.47
0,147.38,107.21,2072.18,-178.32,0.45,95.86,1.0,1.0,0.76,1.47
0,140.53,-49.97,2129.17,176.63,-12.73,95.72,10.37,3.22,2.68,5.55
0,140.53,-49.97,2129.17,176.63,-12.73,95.72,10.37,3.22,2.68,5.55
0,140.53,-49.97,2129.17,176.63,-12.73,95.72,10.37,3.22,2.68,5.55
0,140.53,-49.97,2129.17,176.63,-12.73,95.72,10.37,3.22,2.68,5.55
0,140.53,-49.97,2129.17,176.63,-12.73,95.72,10.37,3.22,2.68,5.55
0,140.53,-49.97,2129.17,176.63,-12.73,95.72,10.37,3.22,2.68,5.55
0,128.16,-162.66,2052.39,-175.97,9.43,96.85,1.35,1.16,0.85,1.84
0,128.46,-152.14,2050.91,-177.73,4.47,97.17,1.16,1.08,0.85,1.78
0,128.46,-152.14,2050.91,-177.73,4.47,97.17,1.16,1.08,0.85,1.78
0,128.46,-152.14,2050.91,-177.73,4.47,97.17,1.16,1.08,0.85,1.78
0,128.46,-152.14,2050.91,-177.73,4.47,97.17,1.16,1.08,0.85,1.78
0,128.46,-152.14,2050.91,-177.73,4.47,97.17,1.16,1.08,0.85,1.78
0,128.14,-120.94,2046.98,-174.92,-2.56,97.31,0.97,0.98,0.8,1.57
0,127.54,-116.73,2051.19,-178.56,-2.19,98.11,0.63,0.79,0.56,1.05
0,127.54,-116.73,2051.19,-178.56,-2.19,98.11,0.63,0.79,0.56,1.05
0,127.54,-116.73,2051.19,-178.56,-2.19,98.11,0.63,0.79,0.56,1.05
0,127.54,-116.73,2051.19,-178.56,-2.19,98.11,0.63,0.79,0.56,1.05
0,127.54,-116.73,2051.19,-178.56,-2.19,98.11,0.63,0.79,0.56,1.05
0,127.4,-78.33,2049.78,168.89,-1.14,98.27,1.59,1.26,0.82,1.88
0,127.4,-78.33,2049.78,168.89,-1.14,98.27,1.59,1.26,0.82,1.88
0,127.4,-78.33,2049.78,168.89,-1.14,98.27,1.59,1.26,0.82,1.88
0,127.4,-78.33,2049.78,168.89,-1.14,98.27,1.59,1.26,0.82,1.88
0,127.4,-78.33,2049.78,168.89,-1.14,98.27,1.59,1.26,0.82,1.88
0,127.4,-78.33,2049.78,168.89,-1.14,98.27,1.59,1.26,0.82,1.88
