p0x,p0y,p0z,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z,
-44.0145726770087, 8.798649579783023, 527.701249593885, -108.19843228754773, 31.61413520189338, 577.8117526159643, -110.63873258924696, 54.267976362253336, 592.7614598395812, -109.79199833572353, 60.916027218136506, 584.6883792832364, 
-35.63960444680848, 8.786828698482557, 527.7366457445409, -106.62475475214575, 30.589888129794907, 565.0720770225016, -115.88154123927, 54.92491079446132, 611.3562405584636, -111.55922789347673, 60.67576734979841, 585.1455948139, 
-29.605306007022758, 8.375169518909852, 528.7792814313896, -103.72344872913143, 30.03868013907995, 553.9363406896408, -118.49852749155552, 56.00135971702383, 625.1422437625093, -110.23178710328133, 60.42071662531196, 582.6181983353333, 
-22.098403612821777, 8.411030565769703, 531.7723050600142, -99.31381154929113, 29.476149845205438, 542.9440039038972, -118.79868232724492, 57.187329368461896, 641.3869654018904, -107.44584016541117, 61.197589071930516, 581.414395006087, 
-14.567796432460824, 7.3235443038026995, 537.0499151034156, -12.501950133578712, 17.331812022441234, 463.87758560491807, -92.82510135385431, 29.372004010853658, 532.7200222093816, -94.63676102338948, 30.682385295760817, 534.2642874337231, 
-9.208129391731314, 8.949491302965736, 540.9845517756087, -85.47812699969244, 27.170422085013563, 525.2490771573115, -86.34730985272859, 29.73131504036055, 526.0092544118556, -88.11634261074785, 30.647239809424146, 527.5234476221426, 
-4.583872306154208, 9.05227669346878, 548.1849292677211, -74.41673274313125, 26.308334927762854, 516.8853391646426, -76.97659050674673, 28.042339065040164, 519.0806984265308, -76.9742215975459, 28.84728709734574, 519.0774453395826, 
-0.6346302482826037, 9.52889056021312, 553.7595661763205, -66.34383894669033, 26.747044903105458, 512.1029080740624, -64.96992575745632, 28.728991656851974, 496.05510185139985, -68.00483050917542, 30.005929283701377, 513.5294014878618, 
0.9804215779209131, 9.679573068347851, 563.3617127085622, -54.196620540227926, 26.899278472165335, 509.11304002465766, -55.00250141101736, 29.292098618606918, 509.816674039395, -54.74290749530618, 29.950426074823067, 507.4279397181971, 
2.6337008871769134, 9.770907392284585, 569.2443614773036, -43.76936964477122, 27.432616484801216, 507.3881404939302, -43.76476967722273, 29.759845038436506, 507.3759720360772, -44.04749887892773, 30.270903844826194, 502.2710994567549, 
1.8446146548104216, 10.35086275214881, 579.4542128320535, -32.06820523618816, 27.674550699728062, 507.543067706022, -32.06852330540835, 30.351489634109694, 507.5223437426161, -31.850290695165402, 30.934267030242285, 504.0861345266513, 
