id, x, y, z, roll, pitch, yaw, mse, rmse
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,96.82,39.86,1550.57,169.43,-5.11,150.4,0.29,0.54
0,99.93,39.49,1536.24,171.71,-9.76,149.02,0.73,0.86
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,100.77,40.94,1549.12,179.39,-9.9,149.43,0.26,0.51
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,105.59,42.22,1554.34,162.67,-4.54,150.06,3.59,1.89
0,108.46,41.84,1540.73,160.97,-3.99,149.87,2.17,1.47
0,108.46,41.84,1540.73,160.97,-3.99,149.87,2.17,1.47
0,108.46,41.84,1540.73,160.97,-3.99,149.87,2.17,1.47
0,108.46,41.84,1540.73,160.97,-3.99,149.87,2.17,1.47
0,108.46,41.84,1540.73,160.97,-3.99,149.87,2.17,1.47
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,109.49,42.25,1555.36,165.47,-5.11,150.69,0.6,0.77
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
