dis, relia, err0, err1, err2, err3, angle0, angle1, angle2,
1730.9642, 98.43648, -0.7435544, -0.27634302, -0.33818817, 0.0, -8.724165787838402, 178.9302442565494, 80.00125629253591, 
1731.715, 99.05428, 0.44975027, 0.7896881, -0.4009069, 0.0, -12.297754532986266, -164.50988905357423, 79.225441412796, 
1695.3868, 99.198265, -0.3812777, 0.18739955, 0.41472626, 0.0, 6.997912130814676, -171.51810460888566, 77.28689498762569, 
1711.99, 98.7, -0.618234, 0.4101855, 0.5686671, 0.0, -16.947982486575757, -168.47450124420678, 68.68091103204563, 
1732.6451, 99.880905, 0.05663808, -0.1063207, 0.0108133955, 0.0, -0.5090383527553323, -170.85252808820002, 69.94594540836607, 
1714.0659, 99.42153, 0.27509943, 0.5230649, 0.48176575, 0.0, -8.881444334891723, 178.28821144653426, 72.92054251177127, 
1037.8757, 0.0, -86.27504, -68.587364, -170.95438, 0.0, 5.1226946458497, -95.79216789508112, -126.77512474913381, 
1695.6975, 99.220535, -0.37068686, -0.058230083, 0.26589203, 0.0, -16.703081734432747, -176.81072245290514, 69.36743609032582, 
1004.33545, 0.0, -94.54436, -183.62039, -87.09563, 0.0, 20.121470849746174, 91.32205534751063, 77.14577828335646, 
1714.8552, 99.20744, -0.36975607, 0.6456706, 0.8662796, 0.0, -0.059239159381225086, -94.30526185414872, -163.38919190676953, 
