p0x,p0y,p0z,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z,
69.65092468261719, -27.522743225097656, 1022.3571166992188, 112.95184326171875, 1.058496356010437, 1040.2989501953125, 89.75382232666016, 48.532958984375, 1038.2337646484375, 35.05241394042969, 40.06066131591797, 1017.1629638671875, 
48.4842643737793, -27.974424362182617, 1027.830078125, 93.46856689453125, 0.841785728931427, 1043.18798828125, 71.7431411743164, 49.99125671386719, 1039.468505859375, 14.364553451538086, 41.55327224731445, 1021.6817626953125, 
205.31423950195312, 1.3086681365966797, 1035.2109375, 227.8530731201172, 59.367916107177734, 1045.174072265625, 246.8435516357422, -22.2744140625, 1039.13232421875, 290.14019775390625, 36.496551513671875, 1052.8714599609375, 
-1.7953351736068726, -12.940218925476074, 1045.3349609375, 47.88575744628906, 10.467559814453125, 1064.8770751953125, 31.6516056060791, 63.3680305480957, 1067.4793701171875, -28.504037857055664, 63.22370529174805, 1051.7501220703125, 
202.6721954345703, -2.7134499549865723, 1151.3223876953125, 225.48536682128906, 57.05118942260742, 1155.69873046875, 245.31375122070312, -26.31398582458496, 1156.0262451171875, 288.0416259765625, 35.161712646484375, 1162.968505859375, 
32.939083099365234, -33.30603790283203, 1116.961181640625, 83.37728881835938, -10.406651496887207, 1132.880859375, 66.92766571044922, 43.829139709472656, 1134.61376953125, 8.024177551269531, 43.69782638549805, 1116.656982421875, 
204.68150329589844, -29.943517684936523, 1386.89453125, 218.38894653320312, 30.392271041870117, 1387.3037109375, 246.9049835205078, -48.38935089111328, 1392.0316162109375, 281.4716491699219, 17.169172286987305, 1402.9202880859375, 
-5.305534839630127, -20.849061965942383, 1414.5343017578125, 48.64884567260742, -2.0666985511779785, 1422.9906005859375, 37.21221923828125, 51.05905532836914, 1429.959716796875, -22.541210174560547, 57.3803596496582, 1411.300048828125, 
174.0414581298828, -13.479339599609375, 1394.7183837890625, 188.90994262695312, 47.52742004394531, 1403.4122314453125, 216.04539489746094, -30.206274032592773, 1404.0272216796875, 249.4091033935547, 33.142478942871094, 1419.095703125, 
-34.20537567138672, -2.9465372562408447, 1432.7119140625, 20.493093490600586, 12.133127212524414, 1437.692626953125, 12.377744674682617, 64.95613098144531, 1443.025390625, -46.55852127075195, 75.6478042602539, 1433.8773193359375, 
179.8614044189453, -0.5330234169960022, 1508.5015869140625, 194.02439880371094, 59.40573501586914, 1502.682861328125, 224.5144805908203, -17.166584014892578, 1507.0260009765625, 258.8121032714844, 47.14963150024414, 1508.0478515625, 
-27.687475204467773, 11.659215927124023, 1521.4765625, 27.245712280273438, 26.42106819152832, 1525.6455078125, 19.729084014892578, 80.07720947265625, 1528.8807373046875, -40.761985778808594, 91.66657257080078, 1525.4268798828125, 
-23.94304084777832, -4.209682464599609, 1490.005126953125, 28.763973236083984, 10.112707138061523, 1495.6280517578125, 20.32469367980957, 61.8439826965332, 1503.8218994140625, -38.22895431518555, 72.27623748779297, 1501.7799072265625, 
155.0066375732422, 0.14325423538684845, 1538.031494140625, 167.82603454589844, 60.2442626953125, 1535.4730224609375, 198.38534545898438, -14.917083740234375, 1543.91845703125, 231.8925018310547, 48.746482849121094, 1541.5115966796875, 
-27.558067321777344, 10.64206600189209, 1547.0740966796875, 26.361000061035156, 23.311922073364258, 1557.2275390625, 20.607995986938477, 76.98420715332031, 1560.7008056640625, -39.52072525024414, 90.11115264892578, 1559.5445556640625, 
119.73265838623047, 35.28981018066406, 1651.0626220703125, 133.87457275390625, 95.4382553100586, 1653.8812255859375, 162.1693878173828, 16.889366149902344, 1654.47314453125, 196.2384033203125, 82.12850952148438, 1666.036376953125, 
-76.665771484375, 42.14069747924805, 1648.3140869140625, -22.696626663208008, 47.552310943603516, 1662.714111328125, -22.642810821533203, 100.99979400634766, 1660.5709228515625, -79.09346771240234, 122.12845611572266, 1655.7762451171875, 
-9.263080596923828, 4.022945404052734, 1072.9459228515625, 45.31855773925781, 9.230056762695312, 1081.0770263671875, 46.4776725769043, 63.90201187133789, 1088.165771484375, -9.876209259033203, 83.4098892211914, 1084.535888671875, 
