id, x, y, z, roll, pitch, yaw, mse, rmse
0,296.3,68.17,1588.72,162.62,-11.67,158.28,1.74,1.32
0,296.3,68.17,1588.72,162.62,-11.67,158.28,1.74,1.32
0,296.3,68.17,1588.72,162.62,-11.67,158.28,1.74,1.32
0,296.3,68.17,1588.72,162.62,-11.67,158.28,1.74,1.32
0,296.3,68.17,1588.72,162.62,-11.67,158.28,1.74,1.32
0,296.3,68.17,1588.72,162.62,-11.67,158.28,1.74,1.32
0,297.42,67.58,1575.15,157.89,-11.5,159.49,3.71,1.93
0,297.42,67.58,1575.15,157.89,-11.5,159.49,3.71,1.93
0,302.2,63.78,1593.12,166.23,-17.24,158.82,0.42,0.65
0,302.2,63.78,1593.12,166.23,-17.24,158.82,0.42,0.65
0,302.2,63.78,1593.12,166.23,-17.24,158.82,0.42,0.65
0,302.2,63.78,1593.12,166.23,-17.24,158.82,0.42,0.65
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,303.79,63.0,1601.53,170.87,-20.28,159.36,1.11,1.06
0,304.78,62.48,1588.59,166.32,-13.24,159.12,0.39,0.63
0,307.18,61.86,1601.13,164.55,-10.99,158.24,0.84,0.92
0,307.77,60.4,1593.35,164.33,-16.41,160.09,1.35,1.16
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,310.19,60.88,1605.9,166.72,-15.94,160.59,0.22,0.47
0,314.82,57.63,1610.58,171.56,-16.79,158.81,0.8,0.89
