dis,relia,err0,err1,err2,err3,angle0,angle1,angle2,mse,rmse,table,id0,id1,id2,id3
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1411.1008, 97.30926, -1.4085312, -2.6654081, -5.7633114, -1.8625422, 147.2147214204943, -1.0071924340865135, 179.74180815354748, 23.127851672533268, 4.809142509068875, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1421.5824, 98.47865, 0.79638386, -0.16944408, 5.371356, 0.71921444, 155.51103133186544, -1.2693315101667646, 179.66219315638673, 26.486182599495592, 5.1464728309295085, 0, 1, 3, 2, 4, 
1369.2268, 97.495476, 1.3110542, 1.6352873, 1.268219, 1.3077421, 135.73364453192806, -7.109295480053151, -179.91591964840805, 2.7553172380016373, 1.6599148285383913, 0, 1, 3, 2, 4, 
1369.2268, 97.495476, 1.3110542, 1.6352873, 1.268219, 1.3077421, 135.73364453192806, -7.109295480053151, -179.91591964840805, 2.7553172380016373, 1.6599148285383913, 0, 1, 3, 2, 4, 
